MazeType,Time (ms),Width,Height
Debug-HuntKillMazeGen-9,0.0104,9,9
Debug-HuntKillMazeGen-13,0.0158,13,13
Debug-HuntKillMazeGen-17,0.0192,17,17
Debug-HuntKillMazeGen-21,0.0335,21,21
Debug-HuntKillMazeGen-25,0.053,25,25
Debug-HuntKillMazeGen-29,0.0612,29,29
Debug-HuntKillMazeGen-33,0.0894,33,33
Debug-HuntKillMazeGen-37,0.114,37,37
Debug-HuntKillMazeGen-41,0.1526,41,41
Debug-HuntKillMazeGen-45,0.2055,45,45
Debug-HuntKillMazeGen-49,0.3964,49,49
Debug-HuntKillMazeGen-53,0.4557,53,53
Debug-HuntKillMazeGen-57,0.4167,57,57
Debug-HuntKillMazeGen-61,0.8858,61,61
Debug-HuntKillMazeGen-65,0.7146,65,65
Debug-HuntKillMazeGen-69,0.7901,69,69
Debug-HuntKillMazeGen-73,1.3614,73,73
Debug-HuntKillMazeGen-77,1.256,77,77
Debug-HuntKillMazeGen-81,1.2809,81,81
Debug-HuntKillMazeGen-85,1.8963,85,85
Debug-HuntKillMazeGen-89,2.5326,89,89
Debug-HuntKillMazeGen-93,2.5243,93,93
Debug-HuntKillMazeGen-97,3.2565,97,97
Debug-HuntKillMazeGen-101,3.7442,101,101
Debug-HuntKillMazeGen-105,4.3768,105,105
Debug-HuntKillMazeGen-109,5.616,109,109
Debug-HuntKillMazeGen-113,6.1171,113,113
Debug-HuntKillMazeGen-117,6.7505,117,117
Debug-HuntKillMazeGen-121,6.2582,121,121
Debug-HuntKillMazeGen-125,7.7829,125,125
Debug-HuntKillMazeGen-129,9.0548,129,129
Debug-HuntKillMazeGen-133,10.3375,133,133
Debug-HuntKillMazeGen-137,12.5738,137,137
Debug-HuntKillMazeGen-141,13.6718,141,141
Debug-HuntKillMazeGen-145,13.489,145,145
Debug-HuntKillMazeGen-149,16.3817,149,149
Debug-HuntKillMazeGen-153,17.5331,153,153
Debug-HuntKillMazeGen-157,19.2217,157,157
Debug-HuntKillMazeGen-161,19.5014,161,161
